epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,335.016,1.31149,0.76844,1.24341,0.85758,0.85744,0.93239,0.52577,1.25303,0.67708,1.17885,0.00123566,0.00123566,0.00123566
43,342.261,1.31264,0.74873,1.26132,0.80798,0.87532,0.88179,0.48149,1.37797,0.74273,1.29654,0.00123094,0.00123094,0.00123094
44,349.432,1.29567,0.75501,1.21144,0.81973,0.90488,0.96243,0.55521,1.23305,0.65538,1.16783,0.00122622,0.00122622,0.00122622
45,356.852,1.27909,0.74607,1.21285,0.71747,0.81147,0.85263,0.48943,1.27438,0.67144,1.18893,0.00122151,0.00122151,0.00122151
46,364.007,1.26826,0.7515,1.23973,0.8146,0.96973,0.9287,0.53529,1.225,0.70834,1.16705,0.00121679,0.00121679,0.00121679
47,371.178,1.27898,0.75675,1.21521,0.90229,0.92751,0.95127,0.58006,1.23737,0.63265,1.17088,0.00121208,0.00121208,0.00121208
48,378.622,1.29219,0.74985,1.25197,0.84245,0.90961,0.93659,0.58066,1.24067,0.72243,1.16676,0.00120736,0.00120736,0.00120736
49,385.787,1.26734,0.72442,1.22603,0.81464,0.96627,0.92648,0.56356,1.2088,0.63861,1.15011,0.00120265,0.00120265,0.00120265
50,392.989,1.26146,0.75005,1.21906,0.90018,0.92907,0.95004,0.59187,1.19929,0.6268,1.14719,0.00119793,0.00119793,0.00119793
51,400.531,1.2567,0.72446,1.22824,0.92442,0.9076,0.94795,0.57544,1.19883,0.62587,1.14344,0.00119322,0.00119322,0.00119322
52,407.691,1.26412,0.73572,1.22258,0.89719,0.88985,0.94954,0.58964,1.20742,0.66974,1.13165,0.0011885,0.0011885,0.0011885
53,414.841,1.26796,0.7158,1.22538,0.86505,0.95968,0.96693,0.60961,1.16777,0.60816,1.12757,0.00118378,0.00118378,0.00118378
54,422.227,1.28155,0.73953,1.23226,0.87867,0.89372,0.96231,0.60222,1.22068,0.61623,1.14811,0.00117907,0.00117907,0.00117907
55,429.434,1.24442,0.73173,1.2349,0.87561,0.95222,0.94247,0.59065,1.17682,0.62676,1.14101,0.00117435,0.00117435,0.00117435
56,436.628,1.2735,0.71807,1.20983,0.87909,0.94567,0.95858,0.59215,1.17204,0.61859,1.12775,0.00116964,0.00116964,0.00116964
57,443.814,1.20806,0.72252,1.19817,0.86821,0.93998,0.95904,0.57475,1.17094,0.66408,1.12859,0.00116492,0.00116492,0.00116492
58,450.955,1.24324,0.69242,1.22079,0.85258,0.95857,0.93954,0.58714,1.17637,0.68576,1.13762,0.00116021,0.00116021,0.00116021
59,458.077,1.20602,0.69945,1.21633,0.89957,0.9596,0.95768,0.59768,1.18128,0.64951,1.12421,0.00115549,0.00115549,0.00115549
60,465.264,1.218,0.6872,1.21137,0.91092,0.9029,0.94028,0.56486,1.2025,0.62587,1.14823,0.00115077,0.00115077,0.00115077
61,472.409,1.24163,0.73559,1.23257,0.89237,0.92303,0.94343,0.56692,1.23286,0.6332,1.15901,0.00114606,0.00114606,0.00114606
62,479.55,1.19767,0.7102,1.17882,0.94584,0.94837,0.9729,0.60373,1.16233,0.58369,1.1183,0.00114134,0.00114134,0.00114134
63,486.696,1.21645,0.69973,1.17399,0.93321,0.95849,0.97287,0.60853,1.15247,0.583,1.11207,0.00113663,0.00113663,0.00113663
64,493.879,1.21299,0.69316,1.20876,0.76083,0.89818,0.82621,0.51437,1.16593,0.90048,1.12193,0.00113191,0.00113191,0.00113191
65,501.028,1.1755,0.70605,1.1925,0.92553,0.94106,0.96691,0.62048,1.12869,0.56961,1.11682,0.0011272,0.0011272,0.0011272
66,508.384,1.21802,0.67338,1.2087,0.93959,0.96292,0.97773,0.61642,1.13068,0.56462,1.11124,0.00112248,0.00112248,0.00112248
67,515.541,1.18585,0.68888,1.19809,0.94421,0.93737,0.97977,0.61852,1.12378,0.54864,1.11057,0.00111776,0.00111776,0.00111776
68,522.719,1.18057,0.66421,1.18704,0.92633,0.96069,0.97858,0.63678,1.10403,0.55411,1.10687,0.00111305,0.00111305,0.00111305
69,530.388,1.16711,0.6871,1.17521,0.90268,0.94976,0.95393,0.63681,1.09607,0.56792,1.09834,0.00110833,0.00110833,0.00110833
70,537.561,1.23499,0.70986,1.2179,0.94456,0.952,0.97645,0.6276,1.10708,0.56046,1.10614,0.00110362,0.00110362,0.00110362
71,544.7,1.21886,0.69544,1.18979,0.9295,0.91447,0.96519,0.62476,1.15918,0.58306,1.14303,0.0010989,0.0010989,0.0010989
72,551.859,1.19198,0.69398,1.1963,0.89909,0.94024,0.96621,0.62181,1.11523,0.5719,1.1097,0.00109419,0.00109419,0.00109419
73,558.987,1.17453,0.65017,1.1804,0.93369,0.94078,0.96938,0.62262,1.12693,0.55735,1.11077,0.00108947,0.00108947,0.00108947
74,566.148,1.17561,0.6545,1.18165,0.92637,0.93404,0.96403,0.64906,1.06373,0.53496,1.07811,0.00108475,0.00108475,0.00108475
75,573.539,1.14416,0.64921,1.16158,0.92395,0.94115,0.97009,0.63009,1.15741,0.55031,1.11944,0.00108004,0.00108004,0.00108004
76,580.688,1.15567,0.65928,1.16805,0.9353,0.92849,0.96227,0.65108,1.06474,0.54204,1.08314,0.00107532,0.00107532,0.00107532
77,588.122,1.12177,0.62984,1.15458,0.94566,0.96473,0.98076,0.62829,1.08845,0.54811,1.07797,0.00107061,0.00107061,0.00107061
78,595.32,1.11892,0.62296,1.14939,0.89557,0.94252,0.96422,0.64434,1.07499,0.52307,1.08344,0.00106589,0.00106589,0.00106589
79,602.509,1.16805,0.65578,1.17159,0.95933,0.91992,0.97093,0.62812,1.05684,0.54543,1.07327,0.00106118,0.00106118,0.00106118
80,609.68,1.11206,0.62583,1.14708,0.92654,0.91569,0.97158,0.64887,1.05779,0.53118,1.08182,0.00105646,0.00105646,0.00105646
81,616.868,1.11274,0.62396,1.14995,0.90864,0.97469,0.97369,0.66008,1.03284,0.50661,1.06854,0.00105174,0.00105174,0.00105174
82,624.237,1.13023,0.61645,1.16841,0.93855,0.93995,0.97653,0.68476,0.99999,0.50045,1.04966,0.00104703,0.00104703,0.00104703
83,631.833,1.12636,0.63629,1.15595,0.92358,0.98483,0.97596,0.66905,1.00452,0.50985,1.04924,0.00104231,0.00104231,0.00104231
84,638.971,1.13372,0.64023,1.14057,0.91105,0.9461,0.96578,0.67499,0.99294,0.50398,1.04421,0.0010376,0.0010376,0.0010376
85,646.158,1.08176,0.6112,1.14601,0.92076,0.9621,0.97842,0.66615,1.00314,0.49987,1.05329,0.00103288,0.00103288,0.00103288
86,653.351,1.11975,0.61166,1.15686,0.93268,0.95313,0.9758,0.66046,1.01543,0.53286,1.05115,0.00102817,0.00102817,0.00102817
87,660.469,1.12414,0.60531,1.15679,0.94698,0.95247,0.98164,0.64875,1.02236,0.51631,1.0574,0.00102345,0.00102345,0.00102345
88,667.658,1.09222,0.61436,1.14061,0.95469,0.9577,0.98306,0.66998,1.00168,0.50221,1.05307,0.00101873,0.00101873,0.00101873
89,674.805,1.08957,0.6017,1.1377,0.93358,0.93405,0.96415,0.64375,1.03107,0.52293,1.06943,0.00101402,0.00101402,0.00101402
90,681.95,1.11733,0.63204,1.14293,0.92762,0.94549,0.97034,0.67828,1.01694,0.51178,1.05526,0.0010093,0.0010093,0.0010093
91,689.123,1.10629,0.61242,1.14559,0.92984,0.93578,0.97835,0.66611,1.00615,0.50311,1.05337,0.00100459,0.00100459,0.00100459
92,696.313,1.06572,0.60418,1.13401,0.9598,0.97567,0.98675,0.65651,1.01552,0.50283,1.05201,0.000999871,0.000999871,0.000999871
93,703.456,1.07764,0.60027,1.13238,0.95307,0.97295,0.98468,0.68152,0.98215,0.48779,1.04172,0.000995156,0.000995156,0.000995156
94,710.603,1.07144,0.59786,1.13187,0.9438,0.96337,0.98156,0.67531,1.04348,0.49379,1.06322,0.00099044,0.00099044,0.00099044
95,717.79,1.11042,0.61125,1.14534,0.96066,0.952,0.98822,0.69183,0.99807,0.47681,1.03746,0.000985724,0.000985724,0.000985724
96,725.183,1.05811,0.57764,1.11637,0.93823,0.93557,0.98353,0.6851,0.98649,0.47833,1.03231,0.000981008,0.000981008,0.000981008
97,732.363,1.07862,0.60406,1.12522,0.94775,0.93908,0.97037,0.67476,0.96907,0.49733,1.02892,0.000976293,0.000976293,0.000976293
98,739.542,1.04791,0.57628,1.11816,0.96085,0.92714,0.97237,0.6972,0.93891,0.47452,1.02871,0.000971577,0.000971577,0.000971577
99,746.875,1.10455,0.59282,1.14437,0.93817,0.94654,0.98661,0.68753,0.97502,0.46339,1.03297,0.000966861,0.000966861,0.000966861
100,754.035,1.05068,0.5884,1.13648,0.9638,0.96689,0.98595,0.68423,1.00527,0.48302,1.04406,0.000962146,0.000962146,0.000962146
101,761.163,1.02971,0.57948,1.10549,0.95128,0.9497,0.97921,0.67596,1.06146,0.49025,1.05336,0.00095743,0.00095743,0.00095743
102,768.313,1.06517,0.58357,1.12281,0.95509,0.96351,0.98623,0.68689,1.05513,0.47817,1.04782,0.000952714,0.000952714,0.000952714
103,775.472,1.05037,0.57959,1.12232,0.96819,0.96698,0.98959,0.72219,0.96094,0.46071,1.02174,0.000947999,0.000947999,0.000947999
104,782.894,1.01304,0.56742,1.11332,0.95441,0.96866,0.9877,0.72125,0.95542,0.45776,1.02701,0.000943283,0.000943283,0.000943283
105,790.107,1.04076,0.5586,1.11591,0.9641,0.96931,0.98766,0.69695,0.96011,0.47335,1.02381,0.000938567,0.000938567,0.000938567
106,797.281,1.0385,0.5646,1.11647,0.93811,0.94667,0.97248,0.68333,0.96848,0.46795,1.02864,0.000933851,0.000933851,0.000933851
107,804.499,1.02901,0.58056,1.12833,0.9746,0.96009,0.98766,0.7106,0.93481,0.45504,1.01557,0.000929136,0.000929136,0.000929136
108,811.657,1.02519,0.55101,1.09801,0.95846,0.9668,0.98894,0.72231,0.91002,0.45018,1.00197,0.00092442,0.00092442,0.00092442
109,819.048,1.05365,0.56761,1.1103,0.95235,0.97409,0.99086,0.71564,0.91631,0.45129,1.00929,0.000919704,0.000919704,0.000919704
110,826.233,1.03597,0.55841,1.10874,0.94238,0.97423,0.98435,0.69641,0.93387,0.46881,1.01632,0.000914989,0.000914989,0.000914989
