epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,296.639,1.06366,0.71905,1.31455,0.48639,0.69258,0.55982,0.3234,1.38679,1.92105,1.62849,0.00191882,0.00191882,0.00191882
43,302.561,1.06076,0.72829,1.31237,0.8802,0.76332,0.87282,0.60181,1.05671,0.81054,1.30897,0.00191684,0.00191684,0.00191684
44,308.941,1.03743,0.70652,1.28807,0.86264,0.75633,0.8684,0.55546,1.21374,0.91333,1.50382,0.00191486,0.00191486,0.00191486
45,314.85,1.05412,0.71091,1.32272,0.88783,0.79497,0.90776,0.59824,1.12338,0.80539,1.38639,0.00191288,0.00191288,0.00191288
46,320.968,1.06131,0.695,1.32012,0.82742,0.783,0.8804,0.57413,1.14557,0.9536,1.40154,0.0019109,0.0019109,0.0019109
47,326.86,1.02204,0.69085,1.30479,0.78973,0.72576,0.8083,0.55826,1.0796,1.23671,1.34306,0.00190892,0.00190892,0.00190892
48,332.772,1.00425,0.66514,1.2618,0.8645,0.83022,0.92374,0.63308,1.0575,1.02664,1.35519,0.00190694,0.00190694,0.00190694
49,338.925,1.01784,0.69426,1.28506,0.86553,0.80385,0.90422,0.57187,1.19404,1.16938,1.52189,0.00190496,0.00190496,0.00190496
50,344.905,1.01215,0.68024,1.29149,0.83438,0.74498,0.86597,0.5892,1.08643,1.11534,1.35104,0.00190298,0.00190298,0.00190298
51,350.785,1.02674,0.6717,1.28405,0.82281,0.75031,0.81163,0.57068,1.01774,1.38457,1.27139,0.001901,0.001901,0.001901
52,356.638,1.02682,0.69094,1.29348,0.81684,0.72227,0.8316,0.59263,1.02679,1.41153,1.27615,0.00189902,0.00189902,0.00189902
53,362.537,1.02113,0.67862,1.27981,0.92689,0.77729,0.91013,0.65402,1.00942,0.85608,1.24939,0.00189704,0.00189704,0.00189704
54,368.901,0.98192,0.64569,1.25842,0.93773,0.81536,0.93551,0.67372,0.99073,0.73002,1.25531,0.00189506,0.00189506,0.00189506
55,375.047,0.99597,0.63121,1.2655,0.93566,0.81223,0.9479,0.68021,1.00422,0.6526,1.25837,0.00189308,0.00189308,0.00189308
56,381.186,0.97621,0.62241,1.25494,0.91342,0.81572,0.93828,0.67257,0.99006,0.85117,1.2627,0.0018911,0.0018911,0.0018911
57,387.126,0.99681,0.6335,1.26545,0.94029,0.81747,0.93683,0.66254,0.99291,0.81582,1.28214,0.00188912,0.00188912,0.00188912
58,393.002,0.97622,0.62759,1.25874,0.94668,0.83581,0.95596,0.68852,1.00459,0.63736,1.27387,0.00188714,0.00188714,0.00188714
59,399.329,0.98822,0.64001,1.25691,0.93384,0.80349,0.93872,0.68185,0.97733,0.64191,1.23213,0.00188516,0.00188516,0.00188516
60,405.252,0.97769,0.60667,1.26059,0.93838,0.91965,0.97819,0.72145,0.93058,0.52222,1.19886,0.00188318,0.00188318,0.00188318
61,411.36,0.9658,0.62715,1.26205,0.8861,0.9048,0.95251,0.68636,0.99999,0.58796,1.2508,0.0018812,0.0018812,0.0018812
62,417.269,0.97994,0.62594,1.25406,0.91073,0.92402,0.96437,0.68443,0.99839,0.5995,1.27181,0.00187922,0.00187922,0.00187922
63,423.119,0.95838,0.6238,1.25871,0.91598,0.88384,0.95443,0.6934,0.94055,0.61858,1.2329,0.00187724,0.00187724,0.00187724
64,429.003,0.96594,0.61582,1.25623,0.88101,0.9083,0.9554,0.69771,0.95964,0.61197,1.23091,0.00187526,0.00187526,0.00187526
65,434.981,0.97473,0.61881,1.25597,0.908,0.88035,0.9581,0.71348,0.91635,0.58053,1.17148,0.00187328,0.00187328,0.00187328
66,440.87,0.94601,0.62691,1.23389,0.88455,0.88326,0.95398,0.68064,1.00241,0.67577,1.24495,0.0018713,0.0018713,0.0018713
67,446.799,0.95312,0.60403,1.23508,0.91984,0.8524,0.95221,0.69736,0.93499,0.65827,1.20129,0.00186932,0.00186932,0.00186932
68,452.739,0.95704,0.5963,1.23268,0.88102,0.82882,0.92653,0.67034,0.97102,0.7487,1.23938,0.00186734,0.00186734,0.00186734
69,458.624,0.96242,0.60425,1.24848,0.87366,0.90594,0.95959,0.70346,0.93846,0.61743,1.20704,0.00186536,0.00186536,0.00186536
70,464.549,0.95901,0.61029,1.24395,0.81777,0.8559,0.92223,0.65084,1.0055,0.76842,1.27237,0.00186338,0.00186338,0.00186338
71,470.494,0.93444,0.58662,1.23616,0.92867,0.88297,0.96306,0.69422,0.98065,0.55326,1.22168,0.0018614,0.0018614,0.0018614
72,476.453,0.91342,0.57458,1.19439,0.92846,0.86201,0.95923,0.7017,0.965,0.56836,1.20457,0.00185942,0.00185942,0.00185942
73,482.341,0.94225,0.58045,1.22055,0.93532,0.92197,0.97463,0.74487,0.88602,0.49756,1.14109,0.00185744,0.00185744,0.00185744
74,488.465,0.94837,0.5895,1.22645,0.934,0.90224,0.96945,0.71661,0.93867,0.54562,1.19315,0.00185546,0.00185546,0.00185546
75,494.386,0.97342,0.588,1.24607,0.89976,0.91965,0.95988,0.70426,0.94842,0.58916,1.22105,0.00185348,0.00185348,0.00185348
76,500.26,0.92231,0.57186,1.20594,0.89459,0.87466,0.95411,0.69629,0.94391,0.55943,1.20725,0.0018515,0.0018515,0.0018515
77,506.164,0.92927,0.57567,1.20519,0.89236,0.91179,0.96288,0.70136,0.9367,0.54785,1.1918,0.00184952,0.00184952,0.00184952
78,512.05,0.91971,0.59732,1.21219,0.89283,0.93131,0.9694,0.71418,0.94221,0.56024,1.21468,0.00184754,0.00184754,0.00184754
79,517.946,0.92263,0.5645,1.21568,0.95364,0.9048,0.9705,0.726,0.90366,0.52991,1.17466,0.00184556,0.00184556,0.00184556
80,523.853,0.94976,0.59404,1.23456,0.95091,0.91354,0.97436,0.73019,0.87819,0.58651,1.14796,0.00184358,0.00184358,0.00184358
81,529.866,0.93282,0.58819,1.22521,0.93777,0.93439,0.98074,0.74093,0.87173,0.50097,1.1477,0.0018416,0.0018416,0.0018416
82,535.774,0.9341,0.58254,1.22463,0.94437,0.91922,0.97695,0.74224,0.88372,0.51117,1.14806,0.00183962,0.00183962,0.00183962
83,541.635,0.92417,0.55696,1.23232,0.91599,0.93886,0.97266,0.72924,0.90659,0.50027,1.16415,0.00183764,0.00183764,0.00183764
84,547.581,0.9206,0.57131,1.22019,0.93704,0.9229,0.97659,0.73327,0.91486,0.50209,1.17489,0.00183566,0.00183566,0.00183566
85,553.442,0.90017,0.55722,1.19774,0.94706,0.84377,0.96682,0.74021,0.88192,0.5109,1.14777,0.00183368,0.00183368,0.00183368
86,559.375,0.91344,0.54732,1.20722,0.94927,0.88259,0.97218,0.74267,0.8778,0.49928,1.13448,0.0018317,0.0018317,0.0018317
87,565.315,0.88269,0.5373,1.17612,0.91232,0.89962,0.96993,0.74956,0.83766,0.50772,1.10997,0.00182972,0.00182972,0.00182972
88,571.435,0.89166,0.55883,1.19703,0.92585,0.92687,0.97838,0.74917,0.84878,0.50125,1.12044,0.00182774,0.00182774,0.00182774
89,577.521,0.93225,0.56181,1.21363,0.94533,0.93626,0.98241,0.74549,0.87992,0.49516,1.16611,0.00182576,0.00182576,0.00182576
90,583.473,0.93901,0.56,1.24273,0.96395,0.93423,0.98638,0.75844,0.84518,0.45952,1.11912,0.00182378,0.00182378,0.00182378
91,589.542,0.88979,0.55166,1.18618,0.94192,0.94892,0.98258,0.75264,0.88859,0.48106,1.13768,0.0018218,0.0018218,0.0018218
92,595.415,0.91364,0.55058,1.20175,0.94673,0.93131,0.98033,0.74634,0.873,0.48482,1.14368,0.00181982,0.00181982,0.00181982
93,601.283,0.90708,0.54325,1.1907,0.93799,0.93712,0.98184,0.73215,0.92723,0.51195,1.18791,0.00181784,0.00181784,0.00181784
94,607.212,0.87991,0.53733,1.18009,0.94688,0.95721,0.98605,0.7558,0.84285,0.50016,1.10861,0.00181586,0.00181586,0.00181586
95,613.091,0.8782,0.54956,1.17466,0.92064,0.91354,0.97421,0.7041,0.96614,0.55232,1.23933,0.00181388,0.00181388,0.00181388
96,619.049,0.87671,0.55143,1.19146,0.94909,0.94433,0.98551,0.74681,0.87666,0.48226,1.14343,0.0018119,0.0018119,0.0018119
97,624.987,0.86862,0.5368,1.19285,0.94117,0.93609,0.98205,0.75203,0.86,0.48098,1.14136,0.00180992,0.00180992,0.00180992
